timestamp,message
1761762421723,"INIT_START Runtime Version: python:3.13.v64	Runtime Version ARN: arn:aws:lambda:us-east-1::runtime:fe7a78198cc1037d599c8e576c9b94c4d6b88f8067b86f7d3481b75d9fd76c24
"
1761762422263,"START RequestId: fcfbc6f4-fab2-4ffe-a3dd-da5c1a796ab0 Version: $LATEST
"
1761762422263,"Received event: {""bucket"": ""data-re-ingestion-bucket"", ""key"": ""RAG Questions.pdf""}
"
1761762422868,"File downloaded: /tmp/RAG Questions.pdf
"
1761762422889,"END RequestId: fcfbc6f4-fab2-4ffe-a3dd-da5c1a796ab0
"
1761762422889,"REPORT RequestId: fcfbc6f4-fab2-4ffe-a3dd-da5c1a796ab0	Duration: 626.21 ms	Billed Duration: 1163 ms	Memory Size: 128 MB	Max Memory Used: 95 MB	Init Duration: 536.18 ms	
"
